Ensembl_geneID	HGNC.symbol	logFC	t	P.Value	adj.P.Val
ENSG00000186891	TNFRSF18	2.63591252849536	7.24327586993902	2.36496619679407e-10	1.37100673091661e-09
ENSG00000186827	TNFRSF4	0.947116532917978	3.95903794083012	0.000161679937012485	0.000374751495073633
ENSG00000078808	SDF4	-0.25355536712433	-3.50964877196938	0.000738538645850451	0.00153016367284641
ENSG00000176022	B3GALT6	0.189460503339727	2.3938152446692	0.0190050496396081	0.0301673158543154
ENSG00000184163	C1QTNF12	0.656807483068816	2.7796576290507	0.00677477837757279	0.0118072950781832
ENSG00000160087	UBE2J2	-0.130280447974333	-1.9388652197644	0.0560293532782643	0.0807149585192671
ENSG00000162572	SCNN1D	-4.7403477873397	-17.6376556927078	2.35681749607164e-29	2.08268240837068e-27
ENSG00000131584	ACAP3	-0.440444537277423	-2.97695634211406	0.00384640134597753	0.00701777545221003
ENSG00000169972	PUSL1	-0.193518151107008	-1.77608251923054	0.0795058838272596	0.110585381750829
ENSG00000127054	INTS11	0.281996966198845	2.97728245114665	0.003842723822742	0.00701297097650415
ENSG00000240731		-1.38931516791276	-6.62612101995383	3.62102322980581e-09	1.75270573054961e-08
ENSG00000224051	CPTP	-0.0815948536157363	-0.806735870498581	0.422200693508254	0.485780342230843
ENSG00000169962	TAS1R3	1.37109570130668	7.06378881851646	5.25680663723053e-10	2.89620290202135e-09
ENSG00000107404	DVL1	0.0342879305920469	0.376674283840248	0.70740879256564	0.754458884741416
ENSG00000162576	MXRA8	-0.0661290743816156	-0.341682869197945	0.733481771770942	0.778023311591364
ENSG00000175756	AURKAIP1	0.40037749245406	4.31264804745489	4.54875351602546e-05	0.00011556432235153
ENSG00000221978	CCNL2	-0.751758431989309	-3.25434248117812	0.00166414243875802	0.00323390642902167
ENSG00000242485	MRPL20	-0.172636252982924	-2.81267729073696	0.00617339024299572	0.0108350944392942
ENSG00000235098	ANKRD65	-1.96801207329324	-9.60430945120371	5.5080227591753e-15	6.07919159418592e-14
ENSG00000179403	VWA1	0.0988980661417735	0.594896425682444	0.553584735233672	0.611643511035509
ENSG00000197785	ATAD3A	-0.481298674775584	-4.84982329914785	5.94906013543676e-06	1.74166904401017e-05
ENSG00000205090	TMEM240	-0.0297889666360783	-0.217135588071576	0.828653210105045	0.858236557801755
ENSG00000272106		-0.570546213047066	-4.15999780051217	7.92259406510734e-05	0.000193448979244722
ENSG00000197530	MIB2	0.54958088252184	4.98605388797878	3.48653491695568e-06	1.06000762798888e-05
ENSG00000189339	SLC35E2B	-2.2112124185351	-11.6707496448887	5.60260293273868e-19	1.1018179003301e-17
ENSG00000008130	NADK	-0.102490405133211	-0.873275088525905	0.385116139400968	0.44821765743296
ENSG00000078369	GNB1	0.0234007387468411	0.341971405708332	0.733265440456334	0.777856689007224
ENSG00000187730	GABRD	-2.48221124953831	-7.35161447700642	1.45777534308552e-10	8.68715102410149e-10
ENSG00000067606	PRKCZ	-1.3113087168284	-6.79035325573679	1.76104054803823e-09	8.91605602761004e-09
ENSG00000182873	PRKCZ-AS1	0.0819252334189262	0.538719709533068	0.591570043273754	0.648227183982139
ENSG00000162585	FAAP20	0.243132754628552	2.58642233802332	0.011502379521507	0.0191178055000024
ENSG00000157933	SKI	-0.59666201124756	-6.1616572200432	2.70979209349902e-08	1.14028594611149e-07
ENSG00000157916	RER1	-0.136854102560923	-2.45870986453342	0.0160933036693799	0.025968915772118
ENSG00000157911	PEX10	-0.377188873387407	-3.6422923579542	0.000477110260564846	0.0010227751730272
ENSG00000157873	TNFRSF14	-0.944757606005845	-5.12143563489686	2.03644517427624e-06	6.42705159325151e-06
ENSG00000157870	PRXL2B	-0.210519124158993	-1.7604577082078	0.082136333100864	0.113902046893538
ENSG00000177133	PRDM16-DT	0.18033110808459	0.824509867724019	0.412091402721184	0.475819798964235
ENSG00000142611	PRDM16	-0.780307569484247	-4.60431516539161	1.53017153263746e-05	4.19539988291209e-05
ENSG00000162591	MEGF6	-0.902960894676461	-4.97482832813341	3.64442277744571e-06	1.10475934882985e-05
ENSG00000158109	TPRG1L	0.266505278096859	4.60834397108024	1.50692956026436e-05	4.13589657815099e-05
ENSG00000116213	WRAP73	-0.148504429893922	-2.00931337344051	0.0478621116468635	0.0700080456975575
ENSG00000227372	TP73-AS1	-1.52543828475877	-13.6928507581505	1.04213310810747e-22	3.58003373608682e-21
ENSG00000235169	SMIM1	-2.55786296475771	-12.6665270560456	7.68709766461084e-21	1.9776111923448e-19
ENSG00000130764	LRRC47	-0.0473308787579425	-0.941197246407257	0.349425533889788	0.411925905845851
ENSG00000116198	CEP104	0.39571654990212	6.4207173835616	8.86332292876409e-09	4.04481514939548e-08
ENSG00000169598	DFFB	-0.784670388775431	-5.73871406795782	1.6266531425606e-07	6.065853695412e-07
ENSG00000198912	C1orf174	-0.7963230876546	-9.98296229095168	9.99168225922612e-16	1.23808372791444e-14
ENSG00000131697	NPHP4	-0.764459068832821	-6.48024664377374	6.84327755975754e-09	3.17904907444609e-08
ENSG00000069424	KCNAB2	0.309176491922767	1.88820623596562	0.062608393546213	0.0892355626180744
ENSG00000116251	RPL22	1.20905841380208	14.8797699987998	8.47770041372948e-25	3.87321333187804e-23
ENSG00000226944		4.1997584461651	13.3565133275849	4.20680847994628e-22	1.30800582182033e-20
ENSG00000158286	RNF207	-0.359770445634443	-1.767820008766	0.0808880589157568	0.112321762364979
ENSG00000116237	ICMT	-0.511282314313357	-5.98683307044251	5.71393689309492e-08	2.28149822675538e-07
ENSG00000158292	GPR153	-2.00163427812776	-7.92235714864891	1.1205539084547e-11	7.87200841964617e-11
ENSG00000097021	ACOT7	-0.943619883724638	-6.75558555349548	2.05209583620124e-09	1.02734816518282e-08
ENSG00000215788	TNFRSF25	-1.00673723245886	-3.86800902887848	0.000221857437243538	0.000501344060742801
ENSG00000171680	PLEKHG5	-0.204996160649038	-1.54362742679345	0.126609027410655	0.167581046135191
ENSG00000162408	NOL9	-0.386028464433373	-4.8454765734354	6.05065617040124e-06	1.77025514443105e-05
ENSG00000204859	ZBTB48	0.0897207806565636	0.753567096394675	0.453312228137917	0.516281596024505
ENSG00000162413	KLHL21	-0.413444827890651	-3.88957364145657	0.000205914965669599	0.000467520253359373
ENSG00000116273	PHF13	0.0312565562439016	0.363127871946945	0.71746314497176	0.763747421402812
ENSG00000041988	THAP3	0.927748420694801	11.6037049933446	7.50665966659234e-19	1.45918165906901e-17
ENSG00000007923	DNAJC11	-0.338747415324316	-2.93992616747239	0.00428581805906268	0.00774792842117495
ENSG00000171735	CAMTA1	0.354721184037586	4.87601088982094	5.37125583266122e-06	1.58181776681222e-05
ENSG00000049245	VAMP3	0.863354427898592	15.0955172441568	3.60383326559704e-25	1.72881030083927e-23
ENSG00000049246	PER3	0.282200570993874	1.66367473289823	0.100074039734017	0.135887030095765
ENSG00000116288	PARK7	-1.79908878007833	-25.6603287967139	1.85048091230007e-40	4.68974709698387e-38
ENSG00000116285	ERRFI1	-0.374604387174658	-2.09555301728213	0.0392709322597753	0.0586096846792558
ENSG00000142599	RERE	-1.03052155426399	-6.54040670583139	5.26570423773283e-09	2.49572827527266e-08
ENSG00000074800	ENO1	-0.42256138017864	-3.43019461536425	0.000954891684723068	0.00193630813846622
ENSG00000142583	SLC2A5	2.95585190167896	13.1042804068755	1.20882970910186e-21	3.44734621075504e-20
ENSG00000180758	GPR157	0.0557488633063346	0.252858420639466	0.801023543315225	0.834705060807611
ENSG00000228526	MIR34AHG	-1.12406318693435	-5.3721890665316	7.39891517096006e-07	2.49578675480501e-06
ENSG00000049239	H6PD	-1.13913868221685	-10.9611176996105	1.26699936739207e-17	2.0754067686354e-16
ENSG00000171621	SPSB1	-0.84748378112133	-4.53021755785297	2.02518875472612e-05	5.45136981031689e-05
ENSG00000171612	SLC25A33	0.533118728077616	4.44463792728957	2.791140985968e-05	7.33841339846255e-05
ENSG00000188807	TMEM201	-0.174392841375373	-2.27060408336906	0.0258486853575138	0.0399263502440347
ENSG00000171608	PIK3CD	-0.0821575434771006	-0.548731335302096	0.584711763677543	0.64133989953591
ENSG00000171603	CLSTN1	-0.721067864875256	-9.92497014682566	1.29709924472565e-15	1.58387609592318e-14
ENSG00000178585	CTNNBIP1	-0.0440865578227232	-0.405080967295496	0.686494718274714	0.735033643353206
ENSG00000162441	LZIC	-0.00438162224407757	-0.0544326198708709	0.956725636255541	0.965998075593345
ENSG00000173614	NMNAT1	0.197307844204259	1.97459421827804	0.0517502269102618	0.0751388009792063
ENSG00000162444	RBP7	-0.0818059732200069	-0.403034278803732	0.687993655054901	0.736403759239576
