ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge
BP	GO:0070925	organelle assembly	499	-0.2923951869182066	-1.6029440317337655	1.505876683758367e-6	3.874755280502145e-5	2.194184033110864e-5	1947	tags=26%, list=18%, signal=22%
BP	GO:0006325	chromatin organization	490	-0.3499886428652508	-1.915687193902364	1.5082228308739246e-6	3.874755280502145e-5	2.194184033110864e-5	3311	tags=44%, list=31%, signal=32%
BP	GO:0044257	cellular protein catabolic process	489	-0.30679501943593307	-1.6789636867658602	1.508527707128397e-6	3.874755280502145e-5	2.194184033110864e-5	2512	tags=34%, list=23%, signal=27%
CC	GO:1990234	transferase complex	479	-0.426656710879535	-2.330712523438591	1.5122690387110628e-6	3.874755280502145e-5	2.194184033110864e-5	3468	tags=52%, list=32%, signal=37%
BP	GO:0043043	peptide biosynthetic process	448	-0.33684726940700255	-1.8292916587566117	1.5220491652321352e-6	3.874755280502145e-5	2.194184033110864e-5	3044	tags=39%, list=28%, signal=29%
BP	GO:0051603	proteolysis involved in cellular protein catabolic process	447	-0.3146806491780706	-1.7085636886667175	1.5223364820326237e-6	3.874755280502145e-5	2.194184033110864e-5	2512	tags=35%, list=23%, signal=28%
BP	GO:0006412	translation	433	-0.3485454107141401	-1.886672257795555	1.5281523873560673e-6	3.874755280502145e-5	2.194184033110864e-5	3595	tags=46%, list=33%, signal=32%
BP	GO:0010608	posttranscriptional regulation of gene expression	414	-0.3707763687195129	-1.9987202626224696	1.5346626581278037e-6	3.874755280502145e-5	2.194184033110864e-5	2943	tags=42%, list=27%, signal=32%
BP	GO:0043632	modification-dependent macromolecule catabolic process	398	-0.3491452060731165	-1.8750702160492845	1.5400703196107934e-6	3.874755280502145e-5	2.194184033110864e-5	2562	tags=37%, list=24%, signal=30%
BP	GO:0019941	modification-dependent protein catabolic process	391	-0.34833294458673275	-1.8674159453947876	1.542952717756917e-6	3.874755280502145e-5	2.194184033110864e-5	2562	tags=37%, list=24%, signal=30%
BP	GO:0006511	ubiquitin-dependent protein catabolic process	387	-0.3484946969015	-1.8664935158173732	1.54440631476854e-6	3.874755280502145e-5	2.194184033110864e-5	2562	tags=37%, list=24%, signal=30%
CC	GO:0005813	centrosome	372	-0.3390929131186417	-1.809038333304795	1.5498973967923323e-6	3.874755280502145e-5	2.194184033110864e-5	3420	tags=45%, list=32%, signal=32%
BP	GO:0034660	ncRNA metabolic process	372	-0.5025920914875618	-2.681295669540331	1.5498973967923323e-6	3.874755280502145e-5	2.194184033110864e-5	3193	tags=54%, list=30%, signal=39%
BP	GO:0006914	autophagy	362	-0.32580628171117254	-1.7333079693620457	1.5549004241768357e-6	3.874755280502145e-5	2.194184033110864e-5	2306	tags=33%, list=21%, signal=27%
